Fellow;Institute;City;Country
Jane-Frances Agbu;National Open University of Nigeria;Lagos;Nigeria
Rim Azib;British Council, Tunis;Bizerta;Tunisia
Steve Cairns;Greenpeace International;Amsterdam;Netherlands
Amanda Coolidge;BCcampus;Vancouver, BC;Canada
Daniel DeMarte;Tidewater Community College;Norfolk, VA;United States
Paula Eskett;CORE Education;Christchurch;New Zealand
Mostafa Azad Kamal;Bangladesh Open University;Gazipur;Bangladesh
Roshan Kumar Karn;Tribhuvan University Teaching Hospital;Kathmandu;Nepal
Vincent Kizza;Open Learning Exchange Uganda;Kampala;Uganda
Fiona MacAllister;University of the Witwatersrand;Johannesburg;South Africa
Katja Mayer;University of Vienna;Vienna;Austria
Caroline Mbogo;The World Agroforestry Centre;Nairobi;Kenya
Niall McNulty;Cambridge University Press;Cape Town;South Africa
Juliana Monteiro;Museu da Imigração do Estado de São Paulo;São Paulo;Brazil
Jacques Murinda;Great Lakes School of Open;Kigali;Rwanda
Alessandro Sarretta;Institute of Marine Sciences;Venezia;Italy
